,10530,10550,10626,10702,10738,1082,1088,1094,1100,11018,1106,1112,1118,1124,1130,11318,1136,1142,1148,1154,11602,11618,1166,11714,1178,1184,1190,11918,1196,1202,1208,1214,12202
SORRENTO,5:30,5:50,6:26,7:02,7:38,8:14,8:50,9:26,10:02,10:20,10:38,11:14,11:50,12:26,13:02,13:20,13:38,14:14,14:50,15:26,16:02,16:20,16:38,17:14,17:50,18:26,19:02,19:20,19:38,20:14,20:50,21:26,22:02
S. Agnello,5:32,5:52,6:28,7:04,7:40,8:17,8:53,9:29,10:05,10:22,10:41,11:17,11:53,12:29,13:05,13:22,13:41,14:17,14:53,15:29,16:05,16:22,16:41,17:17,17:53,18:29,19:05,19:22,19:41,20:17,20:53,21:29,22:05
PIANO,5:35,5:55,6:31,7:07,7:43,8:19,8:55,9:31,10:07,10:26,10:43,11:19,11:55,12:31,13:07,13:26,13:43,14:19,14:55,15:31,16:07,16:26,16:43,17:19,17:55,18:31,19:07,19:26,19:43,20:19,20:55,21:31,22:07
META,5:37,5:57,6:33,7:09,7:45,8:22,8:58,9:34,10:10,10:28,10:46,11:22,11:58,12:34,13:10,13:28,13:46,14:22,14:58,15:34,16:09,16:28,16:46,17:22,17:58,18:34,19:10,19:28,19:46,20:22,20:58,21:34,22:10
SEIANO,5:41,6:01,6:37,7:13,7:49,8:26,9:02,9:38,10:14,|,10:50,11:26,12:02,12:38,13:14,|,13:50,14:26,15:02,15:38,16:13,|,16:50,17:26,18:02,18:38,19:14,|,19:50,20:26,21:02,21:38,22:14
VICO EQUENSE,5:44,6:04,6:40,7:16,7:52,8:29,9:05,9:41,10:17,10:34,10:53,11:29,12:05,12:41,13:17,13:34,13:53,14:29,15:05,15:41,16:16,16:34,16:53,17:29,18:05,18:41,19:17,19:34,19:53,20:29,21:05,21:41,22:17
CASTELLAMMARE DI STABIA,5:52,6:12,6:48,7:24,8:00,8:37,9:13,9:49,10:25,10:45,11:01,11:37,12:13,12:49,13:25,13:45,14:01,14:37,15:13,15:49,16:24,16:45,17:01,17:37,18:13,18:49,19:25,19:45,20:01,20:37,21:13,21:49,22:25
VIA NOCERA,5:55,6:15,6:51,7:27,8:03,8:40,9:16,9:52,10:28,|,11:04,11:40,12:16,12:52,13:28,|,14:04,14:40,15:16,15:52,16:27,|,17:04,17:40,18:16,18:52,19:28,|,20:04,20:40,21:16,21:52,22:28
PIOPPAINO,6:01,6:21,6:57,7:33,8:09,8:46,9:22,9:58,10:34,|,11:10,11:46,12:22,12:58,13:34,|,14:10,14:46,15:22,15:58,16:33,|,17:10,17:46,18:22,18:58,19:34,|,20:10,20:46,21:22,21:58,22:34
MOREGINE,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
POMPEI SCAVI VILLA DEI MISTERI,6:10,6:30,7:06,7:42,8:18,8:53,9:29,10:05,10:41,11:01,11:17,11:53,12:29,13:05,13:41,14:01,14:17,14:53,15:29,16:05,16:42,17:01,17:17,17:53,18:29,19:05,19:41,20:01,20:17,20:53,21:29,22:05,22:40
VILLA REGINA,6:13,6:33,7:09,7:45,8:21,8:56,9:31,10:08,10:44,|,11:20,11:56,12:32,13:08,13:44,|,14:20,14:56,15:32,16:08,16:45,|,17:20,17:55,18:32,19:08,19:44,|,20:20,20:56,21:32,22:08,22:43
TORRE A.TA - OPLONTI,6:17,6:37,7:13,7:49,8:25,8:59,9:35,10:11,10:47,|,11:23,11:59,12:35,13:11,13:47,|,14:23,14:59,15:35,16:11,16:49,|,17:23,17:59,18:35,19:12,19:47,|,20:23,20:59,21:35,22:11,22:47
TORRE DEL GRECO,6:27,6:47,7:23,7:59,8:35,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,16:59,|,|,18:07,|,19:22,|,|,|,|,|,|,22:56
ERCOLANO,6:30,6:50,7:26,8:02,8:38,|,|,|,|,11:22,|,|,|,|,|,14:22,|,|,|,|,17:02,17:22,|,18:10,|,19:26,|,20:22,|,|,|,|,22:58
PORTICI BELLAVISTA,6:33,6:53,7:29,8:05,8:41,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,17:05,|,|,18:12,|,19:30,|,|,|,|,|,|,23:01
SAN GIORGIO A CREMANO,6:35,6:56,7:32,8:08,8:44,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,17:07,|,|,18:14,|,19:34,|,|,|,|,|,|,23:03
NAPOLI P. GARIBALDI,6:44,7:05,7:41,8:17,8:53,9:24,9:59,10:36,11:12,11:35,11:48,12:24,13:00,13:36,14:12,14:35,14:48,15:24,16:00,16:36,17:16,17:35,17:48,18:23,19:00,19:43,20:12,20:35,20:48,21:24,22:00,22:35,23:11
NAPOLI PORTA NOLANA,6:46,7:07,7:43,8:19,8:55,9:26,10:01,10:38,11:14,11:37,11:50,12:26,13:02,13:38,14:14,14:37,14:50,15:26,16:02,16:38,17:18,17:37,17:50,18:25,19:02,19:45,20:14,20:37,20:50,21:26,22:02,22:37,23:13
